Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,04-14 Percentage,Total Enplanements,CY 14 Enplanements,CY 13 Enplanements,CY 12 Enplanements,CY 11 Enplanements,CY 10 Enplanements,CY 09 Boardings,CY 08 Boardings,CY2007 Enplanements,CY 2006 Enplanements,CY 05 Enplanements,CY 04 Enplanements
1348,WP,NV,67L,Mesquite,Mesquite,GA,None,0%,138,4,,,12,22,2,1,4,10,1,82
1380,EA,NY,PTD,Potsdam,Potsdam Municipal/Damon Field/,GA,None,0%,191,0,3,2,7,18,,,87,35,20,19
1344,GL,OH,2G2,Steubenville,Jefferson County Airpark,GA,None,0%,4,0,2,0,,,2,0,,,,
1396,GL,OH,VES,Versailles,Darke County,GA,None,0%,51,6,,,,,4,0,1,25,8,7
1381,SW,OK,RVS,Tulsa,Richard Lloyd Jones Jr,GA,None,0%,343,21,148,10,10,14,19,6,31,69,8,7
1384,NM,OR,S21,Sunriver,Sunriver,GA,None,0%,142,18,17,0,10,1,5,8,14,22,41,6
1377,EA,PA,MQS,Coatesville,Chester County G O Carlson,GA,None,0%,"1,286",33,378,17,3,51,394,113,132,165,,
1372,GL,SD,MHE,Mitchell,Mitchell Municipal,GA,None,0%,207,31,58,0,34,15,,,20,15,4,30
1364,SO,TN,GKT,Sevierville,Gatlinburg-Pigeon Forge,GA,None,0%,100,4,14,6,,,,,7,62,1,6
1370,SO,TN,M29,Clifton,Hassell Field,GA,None,0%,1,0,1,0,,,,,,,,
1354,SW,TX,CPT,Cleburne,Cleburne Regional,GA,None,0%,29,0,14,0,,,,,10,5,,
1363,SW,TX,FWS,Fort Worth,Fort Worth Spinks,GA,None,0%,113,0,34,45,,,27,0,3,4,,
1379,SW,TX,ODO,Odessa,Odessa-Schlemeyer Field,GA,None,0%,90,6,9,0,,,6,12,27,15,15,0
1394,SW,TX,TPL,Temple,Draughon-Miller Central Texas Regional,GA,None,0%,92,1,18,0,,,3,39,3,12,10,6
1357,NM,UT,DTA,Delta,Delta Municipal,GA,None,0%,36,1,,,,,22,0,,,3,10
1362,NM,UT,FOM,Fillmore,Fillmore Municipal,GA,None,0%,44,0,2,1,1,25,15,0,,,,
1359,EA,VA,FCI,Chesterfield,Richmond Executive-Chesterfield County,GA,None,0%,776,3,166,14,18,41,39,178,184,70,23,40
1345,NE,VT,48VT,Colchester,Cub Cove,GA,None,0%,16,0,,,,,16,0,,,,
1360,GL,WI,FLD,Fond du Lac,Fond du Lac County,GA,None,0%,"1,670",3,26,9,5,22,76,361,63,442,638,25
1378,GL,WI,MRJ,Mineral Point,Iowa County,GA,None,0%,13,0,,,,,,,9,1,3,0
1410,AL,AK,A29,Sitka,Sitka,GA,None,0%,147,0,,,52,41,22,32,,,,
1422,AL,AK,BYA,Boundary,Boundary,GA,None,0%,8,5,1,0,,,,,,,2,0
1424,AL,AK,CXC,Chitina,Chitina,GA,None,0%,116,20,16,15,65,0,,,,,,
1426,AL,AK,CYM,Chatham,Chatham,GA,None,0%,95,0,,,8,8,3,8,16,7,14,31
1435,AL,AK,FNR,Funter Bay,Funter Bay,GA,None,0%,435,6,,,15,11,12,16,11,20,54,290
1445,AL,AK,KCR,Colorado Creek,Colorado Creek,GA,None,0%,42,0,2,2,18,0,20,0,,,,
1457,AL,AK,MYK,May Creek,May Creek,GA,None,0%,84,0,,,15,8,18,28,6,4,2,3
1477,AL,AK,SVW,Sparrevohn,Sparrevohn LRRS,GA,None,0%,49,0,,,1,8,7,3,11,6,8,5
1483,AL,AK,ZNC,Nyac,Nyac,GA,None,0%,482,18,14,18,19,20,10,66,65,100,64,88
1406,SO,AL,8A0,Albertville,Albertville Regional-Thomas J Brumlik Field,GA,None,0%,3,0,,,2,0,,,1,0,,
1475,SO,AL,SEM,Selma,Craig Field,GA,None,0%,16,0,11,0,,,,,2,1,2,0
1418,SW,AR,AWM,West Memphis,West Memphis Municipal,GA,None,0%,102,11,,,,,3,44,39,5,,
1425,SW,AR,CXW,Conway,Cantrell Field,GA,None,0%,0,0,,,,,,,,,,
1463,WP,AZ,P33,Willcox,Cochise County,GA,None,0%,27,0,22,0,,,,,1,4,,
1401,WP,CA,1O2,Lakeport,Lampson Field,GA,None,0%,7,0,,,,,5,2,,,,
1402,WP,CA,1O6,Dunsmuir,Dunsmuir Municipal-Mott,GA,None,0%,0,0,,,,,,,,,,
1446,WP,CA,L26,Hesperia,Hesperia,GA,None,0%,0,0,,,,,,,,,,
1447,WP,CA,L45,Bakersfield,Bakersfield Municipal,GA,None,0%,23,0,,,,,3,19,,,1,0
