Rank,FAA Region,ADO,ST,Locid,Airport Name,City,Service Level,Hub,2004-2014 Percentage,2004-2014 (lbs),2014 (lbs),2013 (lbs),2012 (lbs),2011 (lbs),2010 (lbs),2009 (lbs),2008 (lbs),2007 (lbs),2006 (lbs),2005 (lbs),2004 (lbs)
47,CE,ACE,IA,DSM,Des Moines International,Des Moines,P,S,0%,"4,571,902,366","451,745,058","416,594,704","431,642,440","425,198,660","434,435,240","479,544,464","  595,442,570","  628,569,065","670,134,540","639,477,900","623,129,360"
39,GL,CHI,WI,MKE,General Mitchell International,Milwaukee,P,M,0%,"4,533,443,798","510,090,425","485,371,020","443,125,815","490,424,335","495,159,556","374,141,030","  558,444,780","  537,089,612","566,492,132","589,583,355","579,056,130"
44,EA,WAS,VA,IAD,Washington Dulles International,Dulles,P,L,0%,"4,530,076,605","479,925,622","477,671,020","465,711,225","446,608,904","450,313,574","429,940,540","  569,865,570","  579,628,650","560,376,870","609,997,900","609,530,950"
50,SW,TEX,TX,AUS,Austin-Bergstrom International,Austin,P,M,0%,"4,505,818,326","438,339,730","442,476,680","420,478,700","416,029,448","398,073,978","398,927,244","  591,466,066","  560,791,544","577,157,294","682,649,950","731,685,302"
43,EA,WAS,MD,BWI,Baltimore/Washington International Thurgood Marshall,Glen Burnie,P,L,0%,"4,455,077,853","487,553,717","493,739,798","488,944,549","484,628,795","471,224,991","469,422,716","  456,081,500","  521,672,900","532,861,617","514,993,500","511,708,170"
45,NE,ANE,NH,MHT,Manchester,Manchester,P,S,0%,"4,443,793,773","468,002,490","513,146,264","519,955,298","521,869,666","498,115,038","332,513,850","  453,696,450","  555,135,825","540,550,167","527,266,100","522,374,900"
63,SO,MEM,NC,CLT,Charlotte/Douglas International,Charlotte,P,L,0%,"4,419,895,108","360,077,450","353,447,052","349,852,877","397,863,057","404,452,776","391,159,184","  472,818,113","  559,398,179","615,245,175","782,917,680","764,879,857"
120,GL,DET,OH,DAY,James M Cox Dayton International,Dayton,P,S,0%,"4,235,939,870","52,086,800","51,970,800","44,414,000","43,372,800","43,166,000","44,671,200","  52,897,800","  52,155,800","805,704,720","1,577,153,540","1,573,400,010"
54,NM,SEA,WA,GEG,Spokane International,Spokane,P,S,0%,"4,159,592,760","402,626,480","454,596,154","440,807,059","434,215,608","439,748,238","437,429,452","  503,414,036","  506,670,239","513,028,506","537,981,747","499,159,516"
49,SO,MEM,NC,RDU,Raleigh-Durham International,Raleigh,P,M,0%,"4,137,901,991","439,980,600","409,473,228","381,945,455","430,409,120","460,397,905","436,497,214","  495,151,968","  506,066,337","534,875,559","495,393,120","548,929,790"
60,CE,ACE,MO,STL,Lambert-St Louis International,St. Louis,P,M,0%,"4,011,020,404","381,204,028","427,242,038","349,771,888","384,332,870","371,026,650","446,728,100","  426,255,110","  431,694,560","453,983,850","594,657,530","602,073,450"
53,EA,HAR,PA,PIT,Pittsburgh International,Pittsburgh,P,M,0%,"3,832,780,860","405,850,757","398,016,924","394,796,125","411,883,369","420,863,410","395,448,025","  490,738,810","  492,243,902","466,070,100","472,731,350","467,120,800"
59,CE,ACE,NE,OMA,Eppley Airfield,Omaha,P,M,0%,"3,743,719,610","389,625,264","404,721,388","397,289,290","393,907,878","404,708,486","408,167,724","  449,659,628","  452,805,360","436,299,370","452,189,810","456,810,400"
55,SO,ORL,FL,JAX,Jacksonville International,Jacksonville,P,M,0%,"3,743,181,828","395,653,090","391,735,430","389,055,455","395,157,580","407,762,063","422,632,970","  485,351,630","  503,773,212","496,433,020","446,548,270","398,203,950"
58,WP,PHX,NV,LAS,McCarran International,Las Vegas,P,L,0%,"3,712,612,216","392,745,700","383,879,000","370,201,060","347,384,144","353,579,818","400,011,324","  476,156,486","  479,913,880","500,771,850","516,612,120","447,427,200"
62,WP,SFO,CA,MHR,Sacramento Mather,Sacramento,R,-,0%,"3,648,858,430","361,191,250","353,602,800","340,341,670","167,816,620","294,615,410","597,268,840","  597,268,840","  637,912,300","514,635,360","516,160,480","503,226,000"
46,WP,PHX,NV,RNO,Reno/Tahoe International,Reno,P,S,0%,"3,624,157,930","467,324,320","428,698,250","437,385,520","371,917,840","350,867,572","335,243,304","  468,044,360","  492,445,610","455,318,870","401,485,004","375,917,250"
48,SW,TEX,TX,LRD,Laredo International,Laredo,P,N,0%,"3,542,339,570","441,535,408","392,958,665","463,830,112","454,741,030","424,942,460","266,686,784","  285,788,862","  339,520,576","357,353,428","375,049,058","365,242,625"
61,GL,DET,OH,CLE,Cleveland-Hopkins International,Cleveland,P,M,0%,"3,509,071,941","370,335,804","362,282,830","356,619,999","369,077,012","380,855,675","373,652,671","  376,314,190","  394,509,324","426,270,050","435,345,600","434,632,300"
51,SO,JAN,AL,HSV,Huntsville International-Carl T Jones Field,Huntsville,P,S,0%,"3,501,235,537","411,062,041","397,102,094","437,129,815","445,198,179","334,431,032","305,771,057","  380,384,289","  394,884,639","370,128,741","386,621,292","413,791,286"
87,GL,CHI,IN,FWA,Fort Wayne International,Fort Wayne,P,N,0%,"3,424,378,167","210,749,949","218,956,058","178,188,095","169,772,460","170,959,305","168,328,500","  179,571,500","  497,610,000","846,665,720","696,768,220","763,989,860"
52,EA,WAS,VA,RIC,Richmond International,Highland Springs,P,S,0%,"3,423,863,246","408,252,520","396,917,732","367,949,054","353,951,091","340,193,701","336,306,324","  397,749,010","  389,644,344","387,400,488","404,237,494","428,654,842"
81,WP,SFO,CA,SJC,Norman Y Mineta San Jose International,San Jose,P,M,0%,"3,265,451,209","244,687,656","245,152,668","256,343,848","302,463,179","311,053,456","372,125,502","  467,260,490","  505,371,000","492,647,350","488,973,000","552,004,550"
70,SO,MEM,TN,BNA,Nashville International,Nashville,P,M,0%,"3,222,659,470","298,160,483","296,237,996","233,138,746","261,516,890","243,700,794","355,766,290","  469,983,650","  522,386,750","503,962,136","515,898,534","514,277,601"
77,EA,NYC,NY,ROC,Greater Rochester International,Rochester,P,S,0%,"3,199,575,934","270,745,982","294,522,396","262,333,112","257,003,250","266,087,620","284,465,124","  301,560,202","  336,584,700","454,611,200","544,900,950","564,906,300"
56,SO,ORL,FL,TPA,Tampa International,Tampa,P,L,0%,"3,150,624,662","395,335,682","374,054,404","311,542,418","314,706,228","317,256,930","318,581,850","  474,970,090","  478,840,685","442,048,400","353,372,300","323,726,450"
71,SW,LANM,LA,MSY,Louis Armstrong New Orleans International,Metairie,P,M,0%,"3,068,296,604","296,971,410","295,001,650","302,322,482","322,031,610","345,072,218","349,076,170","  332,782,310","  337,520,950","361,987,110","388,512,208","407,321,746"
