,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
326,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,N,0%,"200,600"
327,CE,IA,SUX,Sioux City,Sioux Gateway/Col Bud Day Field,N,0%,"380,261"
328,GL,MI,CMX,Hancock,Houghton County Memorial,N,0%,"278,031"
329,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,N,0%,"95,889"
330,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,N,0%,"315,529"
331,SW,TX,BIF,Fort Bliss/El Paso/,Biggs AAF (Fort Bliss),None,0%,"226,459"
332,GL,MN,BJI,Bemidji,Bemidji Regional,N,0%,"264,715"
333,NM,ID,PIH,Arbon Valley,Pocatello Regional,N,0%,"306,926"
334,SO,MS,MEI,Meridian,Key Field,N,0%,"191,278"
335,EA,WV,CKB,Clarksburg,North Central West Virginia,N,0%,"116,018"
336,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,N,0%,"137,528"
337,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,N,0%,"178,914"
338,SO,FL,SGJ,Saint Augustine,Northeast Florida Regional,N,0%,"61,992"
339,SO,KY,OWB,Owensboro,Owensboro-Daviess County,N,0%,"131,039"
340,EA,PA,IPT,Williamsport,Williamsport Regional,N,0%,"282,279"
341,SO,KY,PAH,Paducah,Barkley Regional,N,0%,"258,423"
342,SW,TX,GGG,Longview,East Texas Regional,N,0%,"253,163"
343,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,N,0%,"317,072"
344,AL,AK,LHD,Anchorage,Lake Hood,N,0%,"201,046"
345,AL,AK,PSG,Petersburg,Petersburg James A Johnson,N,0%,"210,706"
346,WP,AZ,PGA,Page,Page Municipal,N,0%,"268,100"
347,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,N,0%,"231,863"
348,GL,MN,STC,St. Cloud,St. Cloud Regional,N,0%,"180,714"
349,NM,WA,BFI,Seattle,Boeing Field/King County International,N,0%,"312,526"
